 Date and time       , Frames ,  Bytes ,  BYTES ,                 
 2021-11-30 10:21:56 ,     92 ,  26203 ,  26203 ,                 
 2021-11-30 10:21:57 ,    182 , 145992 , 145992 ,                 
 2021-11-30 10:21:58 ,    131 ,  86113 ,  86113 ,                 
 2021-11-30 10:21:59 ,     89 ,  73704 ,  73704 ,                 
 2021-11-30 10:22:00 ,    130 , 136955 , 136955 ,                 
 2021-11-30 10:22:01 ,    110 , 107860 , 107860 ,                 
 2021-11-30 10:22:02 ,     50 ,  66424 ,  66424 ,                 
 2021-11-30 10:22:03 ,    100 , 133456 , 133456 ,                 
 2021-11-30 10:22:04 ,    100 , 132728 , 132728 ,                 
 2021-11-30 10:22:05 ,     55 ,  67913 ,  67913 ,                 
 2021-11-30 10:22:06 ,     98 , 104776 , 104776 ,                 
 2021-11-30 10:22:07 ,     55 ,  38193 ,  38193 ,                 
 2021-11-30 10:22:08 ,    129 , 135677 , 135677 ,                 
 2021-11-30 10:22:09 ,    107 , 133116 , 133116 ,                 
 2021-11-30 10:22:10 ,     64 ,  70591 ,  70591 ,                 
 2021-11-30 10:22:11 ,    110 , 133068 , 133068 ,                 
 2021-11-30 10:22:12 ,    101 , 133496 , 133496 ,                 
 2021-11-30 10:22:13 ,     50 ,  66316 ,  66316 ,                 
 2021-11-30 10:22:14 ,    101 , 132708 , 132708 ,                 
 2021-11-30 10:22:15 ,    102 , 132160 , 132112 ,                 
 2021-11-30 10:22:16 ,     58 ,  68152 ,  68152 ,                 
 2021-11-30 10:22:17 ,    112 , 134222 , 134222 ,                 
 2021-11-30 10:22:18 ,     83 ,  80544 ,  80544 ,                 
 2021-11-30 10:22:19 ,     43 ,  13136 ,  13136 ,                 
 2021-11-30 10:22:20 ,    110 ,  83631 ,  83631 ,                 
 2021-11-30 10:22:21 ,     90 ,  74078 ,  74030 ,                 
 2021-11-30 10:22:22 ,    108 , 134062 , 134062 ,                 
 2021-11-30 10:22:23 ,    128 , 143486 , 143486 ,                 
 2021-11-30 10:22:24 ,     77 ,  71898 ,  71898 ,                 
 2021-11-30 10:22:25 ,    152 , 165454 , 165454 ,                 
 2021-11-30 10:22:26 ,     23 ,   1579 ,   1579 ,                 
 2021-11-30 10:22:27 ,      0 ,      0 ,      0 ,                 
 2021-11-30 10:22:28 ,      0 ,      0 ,      0 ,                 
 2021-11-30 10:22:29 ,      2 ,    120 ,    120 ,                 
 2021-11-30 10:22:30 ,     14 ,   3791 ,   3791 ,                 
 2021-11-30 10:22:31 ,     27 ,   5917 ,   5917 ,                 
 2021-11-30 10:22:32 ,     38 ,  17347 ,  17347 ,                 
 2021-11-30 10:22:33 ,     52 ,  20096 ,  20096 ,                 
 2021-11-30 10:22:34 ,     45 ,  45048 ,  45048 ,                 
