 Date and time       , Frames ,  Bytes  ,  BYTES  ,               
 2021-11-30 13:29:12 ,    463 ,  233012 ,  233012 ,               
 2021-11-30 13:29:13 ,    496 ,  267775 ,  267775 ,               
 2021-11-30 13:29:14 ,    526 ,  371562 ,  371562 ,               
 2021-11-30 13:29:15 ,     76 ,   37906 ,   37906 ,               
 2021-11-30 13:29:16 ,     91 ,   30392 ,   30392 ,               
 2021-11-30 13:29:17 ,   1114 , 1112393 , 1112345 ,               
 2021-11-30 13:29:18 ,    249 ,  239614 ,  239566 ,               
 2021-11-30 13:29:19 ,     10 ,    1224 ,    1224 ,               
 2021-11-30 13:29:20 ,     10 ,    1106 ,    1106 ,               
 2021-11-30 13:29:21 ,    224 ,  263818 ,  263818 ,               
 2021-11-30 13:29:22 ,    114 ,  121724 ,  121724 ,               
 2021-11-30 13:29:23 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:24 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:25 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:26 ,      1 ,      60 ,      60 ,               
 2021-11-30 13:29:27 ,     67 ,   34738 ,   34738 ,               
 2021-11-30 13:29:28 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:29 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:30 ,     37 ,   11327 ,   11327 ,               
 2021-11-30 13:29:31 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:32 ,     36 ,   18507 ,   18459 ,               
 2021-11-30 13:29:33 ,    637 ,  552002 ,  552002 ,               
 2021-11-30 13:29:34 ,   1751 , 2108003 , 2108003 ,               
 2021-11-30 13:29:35 ,      1 ,      48 ,       0 ,               
 2021-11-30 13:29:36 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:37 ,      4 ,     160 ,     160 ,               
 2021-11-30 13:29:38 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:39 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:40 ,     39 ,   11407 ,   11407 ,               
 2021-11-30 13:29:41 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:42 ,      4 ,     160 ,     160 ,               
 2021-11-30 13:29:43 ,     39 ,   11407 ,   11407 ,               
 2021-11-30 13:29:44 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:45 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:46 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:29:47 ,     37 ,   19948 ,   19948 ,               
 2021-11-30 13:29:48 ,    747 ,  580443 ,  580443 ,               
 2021-11-30 13:29:49 ,      0 ,       0 ,       0 ,               
