 Date and time       , Frames ,  Bytes  ,  BYTES  ,               
 2021-11-14 03:44:39 ,    162 ,  111078 ,   19008 ,               
 2021-11-14 03:44:40 ,    132 ,   88937 ,    3109 ,               
 2021-11-14 03:44:41 ,    120 ,   91618 ,    2101 ,               
 2021-11-14 03:44:42 ,     49 ,   45598 ,     706 ,               
 2021-11-14 03:44:43 ,     99 ,   82606 ,    3342 ,               
 2021-11-14 03:44:44 ,     70 ,   65145 ,       0 ,               
 2021-11-14 03:44:45 ,    113 ,   90864 ,     576 ,               
 2021-11-14 03:44:46 ,     60 ,   44611 ,      60 ,               
 2021-11-14 03:44:47 ,     32 ,   34340 ,     644 ,               
 2021-11-14 03:44:48 ,    121 ,  117030 ,   24798 ,               
 2021-11-14 03:44:49 ,     77 ,   79974 ,       0 ,               
 2021-11-14 03:44:50 ,     93 ,   94211 ,     629 ,               
 2021-11-14 03:44:51 ,     58 ,   57384 ,       0 ,               
 2021-11-14 03:44:52 ,     89 ,   71033 ,     649 ,               
 2021-11-14 03:44:53 ,     90 ,   73783 ,    1466 ,               
 2021-11-14 03:44:54 ,     72 ,   71008 ,       0 ,               
 2021-11-14 03:44:55 ,    112 ,   92070 ,       0 ,               
 2021-11-14 03:44:56 ,    110 ,   94878 ,       0 ,               
 2021-11-14 03:44:57 ,     92 ,   76410 ,       0 ,               
 2021-11-14 03:44:58 ,     25 ,   19956 ,       0 ,               
 2021-11-14 03:44:59 ,     74 ,   62316 ,       0 ,               
 2021-11-14 03:45:00 ,     51 ,   44924 ,       0 ,               
 2021-11-14 03:45:01 ,      0 ,       0 ,       0 ,               
 2021-11-14 03:45:02 ,     86 ,   69340 ,     652 ,               
 2021-11-14 03:45:03 ,     70 ,   57863 ,     514 ,               
 2021-11-14 03:45:04 ,      0 ,       0 ,       0 ,               
 2021-11-14 03:45:05 ,     99 ,   91368 ,       0 ,               
 2021-11-14 03:45:06 ,     90 ,   92340 ,       0 ,               
 2021-11-14 03:45:07 ,     82 ,   87534 ,       0 ,               
 2021-11-14 03:45:08 ,     91 ,   92851 ,    3703 ,               
 2021-11-14 03:45:09 ,     88 ,   89398 ,     114 ,               
 2021-11-14 03:45:10 ,     30 ,   24817 ,     575 ,               
 2021-11-14 03:45:11 ,     83 ,   86208 ,      54 ,               
 2021-11-14 03:45:12 ,     75 ,   70193 ,     174 ,               
 2021-11-14 03:45:13 ,     85 ,   87775 ,       0 ,               
 2021-11-14 03:45:14 ,     60 ,   60359 ,     764 ,               
 2021-11-14 03:45:15 ,      6 ,     514 ,     514 ,               
 2021-11-14 03:45:16 ,     92 ,   95364 ,       0 ,               
 2021-11-14 03:45:17 ,     82 ,   88998 ,     114 ,               
 2021-11-14 03:45:18 ,     81 ,   79234 ,     114 ,               
 2021-11-14 03:45:19 ,      2 ,     114 ,     114 ,               
 2021-11-14 03:45:20 ,     88 ,   86406 ,     114 ,               
 2021-11-14 03:45:21 ,     92 ,   84401 ,    1295 ,               
 2021-11-14 03:45:22 ,    107 ,  103252 ,    9346 ,               
 2021-11-14 03:45:23 ,     54 ,   52481 ,     940 ,               
 2021-11-14 03:45:24 ,    177 ,  155099 ,   87113 ,               
 2021-11-14 03:45:25 ,   1082 ,  985722 ,  901266 ,               
 2021-11-14 03:45:26 ,   1018 , 1072659 ,  986504 ,               
 2021-11-14 03:45:27 ,   1014 , 1121915 , 1102462 ,               
 2021-11-14 03:45:28 ,   1014 , 1140273 , 1103229 ,               
 2021-11-14 03:45:29 ,   1048 , 1203504 , 1102524 ,               
