viewport_frames,current_optimal_res,buffer_health,state,playback_progress,timestamp,has_ads,ads_duration,init_time,network_estimate_kbps,network_activity
1280x1280 / 0 dropped of 4Current /,360x360@12 / 1440x1440@12,16.52,44c,0.0,1632802672.5834877,True,0,1632802639.976422,1984,16
1280x1280 / 0 dropped of 12Current /,360x360@12 / 1440x1440@12,16.28,8,0.3,1632802673.0667698,True,0,1632802639.976422,1984,16
1280x1280 / 0 dropped of 18Current /,360x360@12 / 1440x1440@12,15.76,8,0.85,1632802673.5653944,True,0,1632802639.976422,1981,16
1280x1280 / 0 dropped of 24Current /,360x360@12 / 1440x1440@12,15.24,8,1.37,1632802674.0613322,True,0,1632802639.976422,1991,192
1280x1280 / 0 dropped of 30Current /,360x360@12 / 1440x1440@12,14.71,8,1.9,1632802674.5772865,True,0,1632802639.976422,1991,0
1280x1280 / 0 dropped of 36Current /,360x360@12 / 1440x1440@12,14.19,8,2.4,1632802675.0776615,True,0,1632802639.976422,1991,0
1280x1280 / 0 dropped of 43Current /,360x360@12 / 1440x1440@12,13.68,8,2.92,1632802675.5835679,True,0,1632802639.976422,1991,0
1280x1280 / 0 dropped of 49Current /,360x360@12 / 1440x1440@12,26.66,8,3.42,1632802676.0742433,True,0,1632802639.976422,1235,0
1280x1280 / 0 dropped of 55Current /,360x360@12 / 1440x1440@12,26.15,8,3.93,1632802676.5793664,True,0,1632802639.976422,1235,0
1280x1280 / 0 dropped of 61Current /,360x360@12 / 1440x1440@12,25.65,8,4.43,1632802677.087637,True,0,1632802639.976422,1235,0
1280x1280 / 0 dropped of 67Current /,360x360@12 / 1440x1440@12,25.15,8,4.93,1632802677.5940864,True,0,1632802639.976422,1235,0
1280x1280 / 0 dropped of 73Current /,360x360@12 / 1440x1440@12,24.64,8,5.44,1632802678.0972252,True,0,1632802639.976422,1235,0
1280x1280 / 0 dropped of 79Current /,360x360@12 / 1440x1440@12,24.14,8,5.94,1632802678.6045399,True,0,1632802639.976422,1235,0
1280x1280 / 0 dropped of 85Current /,360x360@12 / 1440x1440@12,23.64,8,6.44,1632802679.1104715,True,0,1632802639.976422,1235,0
1280x1280 / 0 dropped of 91Current /,360x360@12 / 1440x1440@12,23.14,8,6.94,1632802679.6170557,True,0,1632802639.976422,1235,0
1280x1280 / 0 dropped of 97Current /,360x360@12 / 1440x1440@12,22.63,8,7.45,1632802680.1230536,True,0,1632802639.976422,1235,0
1280x1280 / 0 dropped of 103Current /,360x360@12 / 1440x1440@12,22.13,8,7.96,1632802680.6280751,True,0,1632802639.976422,1235,0
