viewport_frames,current_optimal_res,buffer_health_unshaped,state,playback_progress,timestamp,has_ads,ads_duration,init_time,network_estimate_kbps,network_activity,
1280x720 / 0 dropped of 4Current /,1280x720@24 / 1280x720@24,16.18,44c,0.0,1632821293.4172807,False,0,1632821286.8049903,4806,0,18.98
1280x720 / 0 dropped of 7Current /,1280x720@24 / 1280x720@24,16.18,8,0.12,1632821294.1097982,False,0,1632821286.8049903,4806,0,18.78
1280x720 / 0 dropped of 21Current /,1280x720@24 / 1280x720@24,15.63,8,0.69,1632821294.6446419,False,0,1632821286.8049903,4806,0,18.48
1280x720 / 0 dropped of 34Current /,1280x720@24 / 1280x720@24,14.96,8,1.23,1632821295.0408418,False,0,1632821286.8049903,4806,0,18.03
1280x720 / 0 dropped of 46Current /,1280x720@24 / 1280x720@24,18.1,8,1.74,1632821295.4419963,False,0,1632821286.8049903,9990,255,17.52
1280x720 / 0 dropped of 58Current /,1280x720@24 / 1280x720@24,17.59,8,2.24,1632821295.9425461,False,0,1632821286.8049903,9990,0,16.96
1280x720 / 0 dropped of 70Current /,1280x720@24 / 1280x720@24,17.09,8,2.76,1632821296.4583418,False,0,1632821286.8049903,12784,592,16.51
1280x720 / 0 dropped of 82Current /,1280x720@24 / 1280x720@24,26.95,8,3.26,1632821296.9420164,False,0,1632821286.8049903,16711,0,15.98
1280x720 / 0 dropped of 95Current /,1280x720@24 / 1280x720@24,26.44,8,3.76,1632821297.4506335,False,0,1632821286.8049903,16711,0,21.74
1280x720 / 0 dropped of 107Current /,1280x720@24 / 1280x720@24,25.94,8,4.26,1632821297.9597533,False,0,1632821286.8049903,16711,0,21.27
1280x720 / 0 dropped of 119Current /,1280x720@24 / 1280x720@24,25.44,8,4.77,1632821298.4646533,False,0,1632821286.8049903,16711,0,20.74
1280x720 / 0 dropped of 131Current /,1280x720@24 / 1280x720@24,24.94,8,5.27,1632821298.9763417,False,0,1632821286.8049903,16711,0,20.18
1280x720 / 0 dropped of 143Current /,1280x720@24 / 1280x720@24,24.44,8,5.77,1632821299.4777453,False,0,1632821286.8049903,16711,0,34.4
1280x720 / 0 dropped of 155Current /,1280x720@24 / 1280x720@24,23.94,8,6.27,1632821299.9862206,False,0,1632821286.8049903,16711,0,33.88
1280x720 / 0 dropped of 167Current /,1280x720@24 / 1280x720@24,23.43,8,6.77,1632821300.498513,False,0,1632821286.8049903,16711,0,33.35
1280x720 / 0 dropped of 179Current /,1280x720@24 / 1280x720@24,22.93,8,7.28,1632821300.9988632,False,0,1632821286.8049903,16711,0,32.84
1280x720 / 0 dropped of 191Current /,1280x720@24 / 1280x720@24,22.43,8,7.78,1632821301.510186,False,0,1632821286.8049903,16711,0,32.35
1280x720 / 0 dropped of 203Current /,1280x720@24 / 1280x720@24,21.93,8,8.28,1632821302.0119932,False,0,1632821286.8049903,16711,0,31.85
1280x720 / 0 dropped of 215Current /,1280x720@24 / 1280x720@24,41.43,8,8.78,1632821302.519639,False,0,1632821286.8049903,18550,0,31.33
