viewport_frames,current_optimal_res,buffer_health,state,playback_progress,timestamp,has_ads,ads_duration,init_time,network_estimate_kbps,network_activity
1136x639 / 0 dropped of 4Current /,1280x720@24 / 1280x720@24,15.08,44c,0.0,1633932789.4634206,False,0,1633932784.6827154,5700,0
1136x639 / 0 dropped of 7Current /,1280x720@24 / 1280x720@24,15.06,8,0.11,1633932789.9557838,False,0,1633932784.6827154,5700,0
1136x639 / 0 dropped of 19Current /,1280x720@24 / 1280x720@24,14.59,8,0.61,1633932790.45666,False,0,1633932784.6827154,5700,0
1136x639 / 0 dropped of 31Current /,1280x720@24 / 1280x720@24,14.08,8,1.11,1633932790.9625952,False,0,1633932784.6827154,5700,0
1136x639 / 0 dropped of 43Current /,1280x720@24 / 1280x720@24,18.15,8,1.61,1633932791.472245,False,0,1633932784.6827154,12522,0
1136x639 / 0 dropped of 55Current /,1280x720@24 / 1280x720@24,17.65,8,2.11,1633932791.9719589,False,0,1633932784.6827154,12522,0
1136x639 / 0 dropped of 67Current /,1280x720@24 / 1280x720@24,17.15,8,2.62,1633932792.4811184,False,0,1633932784.6827154,12522,0
1136x639 / 0 dropped of 80Current /,1280x720@24 / 1280x720@24,16.66,8,3.12,1633932792.9867156,False,0,1633932784.6827154,12522,0
1136x639 / 0 dropped of 91Current /,1280x720@24 / 1280x720@24,16.16,8,3.63,1633932793.4989932,False,0,1633932784.6827154,12522,64
1136x639 / 0 dropped of 103Current /,1280x720@24 / 1280x720@24,26.01,8,4.13,1633932794.0018554,False,0,1633932784.6827154,19968,0
1136x639 / 0 dropped of 116Current /,1280x720@24 / 1280x720@24,25.5,8,4.66,1633932794.5047152,False,0,1633932784.6827154,19968,0
1136x639 / 0 dropped of 128Current /,1280x720@24 / 1280x720@24,24.99,8,5.17,1633932795.009124,False,0,1633932784.6827154,19968,0
1136x639 / 0 dropped of 140Current /,1280x720@24 / 1280x720@24,24.48,8,5.68,1633932795.5166044,False,0,1633932784.6827154,19968,0
1136x639 / 0 dropped of 152Current /,1280x720@24 / 1280x720@24,23.98,8,6.18,1633932796.022422,False,0,1633932784.6827154,19968,0
1136x639 / 0 dropped of 164Current /,1280x720@24 / 1280x720@24,23.48,8,6.68,1633932796.5289168,False,0,1633932784.6827154,19968,0
1136x639 / 0 dropped of 176Current /,1280x720@24 / 1280x720@24,22.97,8,7.19,1633932797.037704,False,0,1633932784.6827154,19968,0
1136x639 / 0 dropped of 188Current /,1280x720@24 / 1280x720@24,22.47,8,7.69,1633932797.5386772,False,0,1633932784.6827154,19968,0
1136x639 / 0 dropped of 200Current /,1280x720@24 / 1280x720@24,21.97,8,8.19,1633932798.0470815,False,0,1633932784.6827154,19968,0
1136x639 / 0 dropped of 212Current /,1280x720@24 / 1280x720@24,41.47,8,8.69,1633932798.5534635,False,0,1633932784.6827154,21461,359
1136x639 / 0 dropped of 224Current /,1280x720@24 / 1280x720@24,40.97,8,9.19,1633932799.0631232,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 236Current /,1280x720@24 / 1280x720@24,40.47,8,9.69,1633932799.5712514,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 248Current /,1280x720@24 / 1280x720@24,39.96,8,10.19,1633932800.0720327,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 260Current /,1280x720@24 / 1280x720@24,39.46,8,10.69,1633932800.5867577,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 272Current /,1280x720@24 / 1280x720@24,38.96,8,11.19,1633932801.0844104,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 284Current /,1280x720@24 / 1280x720@24,38.46,8,11.69,1633932801.5923662,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 296Current /,1280x720@24 / 1280x720@24,37.95,8,12.19,1633932802.0985856,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 308Current /,1280x720@24 / 1280x720@24,37.45,8,12.69,1633932802.604656,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 320Current /,1280x720@24 / 1280x720@24,36.95,8,13.2,1633932803.119717,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 332Current /,1280x720@24 / 1280x720@24,36.45,8,13.7,1633932803.620452,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 344Current /,1280x720@24 / 1280x720@24,35.95,8,14.2,1633932804.1267254,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 356Current /,1280x720@24 / 1280x720@24,35.45,8,14.7,1633932804.6332757,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 368Current /,1280x720@24 / 1280x720@24,34.95,8,15.2,1633932805.1395943,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 393Current /,1280x720@24 / 1280x720@24,33.94,8,16.2,1633932805.653842,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 393Current /,1280x720@24 / 1280x720@24,33.94,8,16.2,1633932806.155005,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 417Current /,1280x720@24 / 1280x720@24,32.94,8,17.2,1633932806.6570876,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 429Current /,1280x720@24 / 1280x720@24,32.44,8,17.71,1633932807.162154,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 441Current /,1280x720@24 / 1280x720@24,31.94,8,18.21,1633932807.6689327,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 453Current /,1280x720@24 / 1280x720@24,31.44,8,18.71,1633932808.1751573,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 465Current /,1280x720@24 / 1280x720@24,30.94,8,19.21,1633932808.68053,False,0,1633932784.6827154,21461,0
1136x639 / 0 dropped of 477Current /,1280x720@24 / 1280x720@24,30.94,8,19.72,1633932809.1948302,False,0,1633932784.6827154,21501,64
1136x639 / 0 dropped of 489Current /,1280x720@24 / 1280x720@24,59.93,8,20.22,1633932809.7023652,False,0,1633932784.6827154,21501,0
1136x639 / 0 dropped of 501Current /,1280x720@24 / 1280x720@24,59.43,8,20.72,1633932810.1994016,False,0,1633932784.6827154,21501,0
1136x639 / 0 dropped of 513Current /,1280x720@24 / 1280x720@24,58.93,8,21.22,1633932810.7051756,False,0,1633932784.6827154,21501,0
1136x639 / 0 dropped of 525Current /,1280x720@24 / 1280x720@24,58.43,8,21.72,1633932811.2118473,False,0,1633932784.6827154,21501,0
