viewport_frames,current_optimal_res,buffer_health,state,playback_progress,timestamp,has_ads,ads_duration,init_time,network_estimate_kbps,network_activity
1280x1280 / 0 dropped of 4Current /,360x360@12 / 1440x1440@12,16.52,44c,0.0,1632802321.3680766,True,0,1632802290.563277,1431,16
1280x1280 / 0 dropped of 10Current /,360x360@12 / 1440x1440@12,16.4,8,0.21,1632802321.7381408,True,0,1632802290.563277,1431,48
1280x1280 / 0 dropped of 17Current /,360x360@12 / 1440x1440@12,15.73,8,0.8,1632802322.2536368,True,0,1632802290.563277,1431,16
1280x1280 / 0 dropped of 23Current /,360x360@12 / 1440x1440@12,15.19,8,1.34,1632802322.723338,True,0,1632802290.563277,1431,16
1280x1280 / 0 dropped of 29Current /,360x360@12 / 1440x1440@12,14.67,8,1.85,1632802323.2271729,True,0,1632802290.563277,1431,16
1280x1280 / 0 dropped of 36Current /,360x360@12 / 1440x1440@12,24.56,8,2.37,1632802323.7395518,True,0,1632802290.563277,1329,64
1280x1280 / 0 dropped of 42Current /,360x360@12 / 1440x1440@12,24.01,8,2.88,1632802324.2389567,True,0,1632802290.563277,1329,0
1280x1280 / 0 dropped of 48Current /,360x360@12 / 1440x1440@12,23.49,8,3.38,1632802324.7316723,True,0,1632802290.563277,1329,0
1280x1280 / 0 dropped of 54Current /,360x360@12 / 1440x1440@12,22.99,8,3.89,1632802325.2393339,True,0,1632802290.563277,1329,0
1280x1280 / 0 dropped of 60Current /,360x360@12 / 1440x1440@12,25.82,8,4.39,1632802325.7467628,True,0,1632802290.563277,1022,196
1280x1280 / 0 dropped of 66Current /,360x360@12 / 1440x1440@12,25.33,8,4.88,1632802326.2599034,True,0,1632802290.563277,1022,0
1280x1280 / 0 dropped of 72Current /,360x360@12 / 1440x1440@12,24.83,8,5.39,1632802326.7596474,True,0,1632802290.563277,1022,0
1280x1280 / 0 dropped of 78Current /,360x360@12 / 1440x1440@12,24.33,8,5.89,1632802327.264588,True,0,1632802290.563277,1022,0
